Destination,culture,adventure,wildlife,sightseeing,history,tags,province,Location,Category,Best_Time,Duration,
Selfie hill,0,3,0,2,2,"hill, scenary",3,Kathmandu,Off-beat,All Year,1-2 hrs,
Bhadrakali Temple,4,0,0,2,3,"temple,hindu,statue",3,Kathmandu,Popular,All Year,1 hr,
Kulekhani Dam ,0,0,0,2,3,"dam-site,  pond,lake",3,Makwanpur,Off-beat,Oct-Apr,Half-day to 1 day,
Kulekhani(Indra Sarovar)   ,0,4,0,3,4,"boat tour, lake",3,Makwanpur,Off-beat,Oct-Apr,Half-day to 1 day,
Chitlang VDC and Stupa of Chaitya Lhown(Ashoka Era),4,0,0,3,5,"statues, temple,hindu,buddhist",3,Chitwan,Off-beat,All Year,1 day,
Jalbire Waterfall(Lamo Jharana),0,5,0,2,2,"waterfall, adventure",3,Chitwan,Off-beat,Jun-Nov,Half-day to 1 day,
Devghat,3,2,0,2,2,"Religious, cultural, temples,river",3,Chitwan,Off-Beat,All Year,2-3 hrs,
Bishazari Tal,3,4,0,2,2,"pond,lake,adventure",3,Chitwan,Off-Beat,Oct-Apr,Half-day to 1 day,
Chitwan Tharu Village,4,0,0,3,2,"cultural, village",3,Chitwan,Off-Beat,All Year,2-3 hrs,
"Ranipokhari, chitwan",3,3,0,2,0,"pond,lake,adventure",3,Chitwan,Off-Beat,Oct-Apr,Half-day to 1 day,
Shiraichuli Hill,0,3,0,3,0,"hills,trekking,rhododendron",3,Chitwan,Off-Beat,Oct-Apr,1 day,
Sanga,3,4,0,4,4,"statues, cultural, temples",3,Bhaktapur/Kavre,Popular,All Year,Half-day to 1 day,
Amayangri Hill ,3,4,0,5,0,"hill, mountain, trekking, buddhist, stupa, natural beauty",3,Sindhupalchowk,Off-Beat,"Sep-Nov, Mar-May",1-2 days,
"Tatopani, Sindhupalchowk",2,3.5,0,3.5,1,"river, pond, rafting, border",3,Sindhupalchowk,Off-Beat,All Year,Half-day to 1 day,
Bhotekoshi,0,4,0,3,0,"river, rafting",3,Sindhupalchowk,Popular,Oct-May,Half-day to 1 day,
Sunkoshi,0,4,0,3,0,"river, rafting",3,Sindhupalchowk,Popular,Oct-May,Half-day to 1 day,
Helambu ,4,0,0,3,2,"Village, trekking ",3,Sindhupalchowk,Off-Beat,"Sep-Nov, Mar-May",5-7 days,
Central Zoo,0,3,5,4,0,"zoo, wildlife ",3,Lalitpur,Popular,All Year,2-3 hrs,
Gorkha Durbar & Museum,3,1,3,5,5,"museum, palace, history, hills, hiking, hindu, temple, art",4,Gorkha,Popular,Oct-Mar,2-3 hrs,
Manaslu Circuit Trek,4,4,3,5,2,"hiking, trekking, hills, mountains, landmarks",4,Gorkha,Off-Beat,"Sep-Nov, Mar-May",7-14 days,
Manakamana Temple,5,3,2,5,2,"hindu, temple, hills, hiking, cable car",4,Gorkha,Popular,Oct-Mar,Half-day, 
Larpak Village ,3,3,1,4,1,"village, trekking, hiking, hills, mountains",4,Gorkha,Off-Beat,Oct-Mar,1 day,
Bhimsen Park ,4,0,0,2,5,"park, history",4,Gorkha,Popular,Oct-Mar,1-2 hrs,
Gorakhnath Temple ,5,1,0,4,4,"hindu, temple, hills, hiking, history",4,Gorkha,Popular,Oct-Mar,2-3 hrs,
Annapurna Circuit Trek,4,4,3,5,2,"hiking, trekking, hills, mountains, landmarks",4,Gandaki,Popular,"Sep-Nov, Mar-May",10-21 days,
Tilicho Lake,0,3,3,5,0,"hiking, trekking, hills, mountains, lake",4,Manang,Off-Beat,"Sep-Nov, Mar-May",1 day,
Nar Phu Valley Trek,4,4,3,5,2,"hiking, trekking, hills, mountains, landmarks, village",4,Manang,Off-Beat,"Sep-Nov, Mar-May",7-10 days,
Milarepa Cave,2,4,0,5,2,"buddhist, cave, landmarks, mountains, hills, hiking, trekking",4,Manang,Off-Beat,"Sep-Nov, Mar-May",Half-day,
Gangapurna Lake,0,3,3,5,0,"hiking, trekking, hills, mountains, lake",4,Manang,Off-Beat,"Sep-Nov, Mar-May",Half-day,
Braga Village,4,4,3,5,2,"hiking, trekking, hills, mountains, landmarks, village",4,Mustang,Off-Beat,"Sep-Nov, Mar-May",1-2 days,
Upper mustang trek,4,4,3,5,2,"hiking, trekking, hills, mountains, landmarks",4,Mustang,Off-Beat,"Sep-Nov, Mar-May",7-10 days,
Upper mustang tiji festival trek,4,4,3,5,2,"hiking, trekking, hills, mountains, landmarks",4,Mustang,Off-Beat,Oct-Nov,7-10 days,
Upper Dolpo to Mustang trek,4,4,3,5,2,"hiking, trekking, hills, mountains, landmarks",4,Dolpo/Mustang,Off-Beat,Sep-Nov,10-20 days,
Lo Manthang trek,4,4,3,5,2,"hiking, trekking, hills, mountains, landmarks",4,Mustang,Off-Beat,"Sep-Nov, Mar-May",5-7 days,
Lower Mustang trek,4,4,3,5,2,"hiking, trekking, hills, mountains, landmarks",4,Mustang,Off-Beat,"Sep-Nov, Mar-May",5-7 days,
Kali Gandaki valley trek,4,4,3,5,2,"hiking, trekking, hills, mountains, landmarks, village",4,Mustang,Off-Beat,"Sep-Nov, Mar-May",7-10 days,
Jomsom to Muktinath trek,4,4,2,5,2,"hiking, trekking, hills, mountains, landmarks, village, hindu, temple",4,Mustang,Off-Beat,"Sep-Nov, Mar-May",3-5 days,
Muktinath ,5,3,0,4,3,"hindu, temple, mountains, hills",4,Mustang,Popular,"Sep-Nov, Mar-May",Half-day,
Todke,3,2,1,4,0,"Village, hills, mountains, trekking, hiking",4,Manang,Off-Beat,"Sep-Nov, Mar-May",Half-day,
Jagannath Temple,5,0,0,3,3,"Hindu, temple, art",4,Gorkha,Popular,Oct-Mar,2-3 hrs,
Galeshwor Dham,4,0,0,3,3,"hindu, temple",4,Gorkha,Popular,Oct-Mar,2-3 hrs,
Maharani Than,3,0,0,3,3,"hindu, temple",4,Gorkha,Off-Beat,Oct-Mar,Half-day,
Malika Dhuri,4,2,0,5,1,"hills, mountains, hindu, temple",4,Syangja,Off-Beat,Oct-Mar,Half-day,
Karbakeli footpath,4,4,3,5,2,"hiking, trekking, hills, mountains, landmarks, village",4,Gorkha,Off-Beat,Oct-Mar,1 day,
Singa Tatopani Kunda,2,2,0,3,1,"pond, landmarks",4,Gorkha,Off-Beat,Oct-Mar,2-3 hrs,
Kaligandaki River,0,0,1,4,3,"river, landmarks",4,Gandaki,Off-Beat,Oct-Mar,Half-day,
Ghorepani,2,4,3,5,0,"hiking, trekking, hills, mountains, landmarks",4,Pokhara,Popular,"Oct–Nov, Mar–May",1 day,
Rupse Jharna,0,0,0,3,0,waterfall,4,Myagdi,Off-Beat,Oct-Mar,Half-day,
Dhaulagiri Himal,1.5,5,2,5,2,"mountains, trekking, climbing",4,Myagdi,Off-Beat,"Oct–Nov, Mar–May",1 day,
Beni Bazaar,3,0,1,4,2,"city, landmarks, hills, river",4,Myagdi,Off-Beat,Oct-Mar,Half-day,
Phewa Lake,0.5,2,2,4,2,"lake, scenery",4,Pokhara,Popular,Oct-Apr,2 hrs,
Davis Falls,0,3,0,5,1.5,waterfall,4,Pokhara,Popular,Oct-Apr,1-2 hrs,
Tal Barahi Temple,4,2,1,4,2,"hindu, temple, lake",4,Pokhara,Popular,All Year,1 hr,
International Mountain Museum,2,0,0,4,5,"museum, history",4,Pokhara,Popular,All Year,2 hrs,
Begnas Lake,0,3,1,4,0,"Lake, hills, hiking, mountains",4,Pokhara,Off-Beat,Oct-Apr,2 hrs,
Shree Bindhyabasini Temple,3,0,0,3,0,"hindu, temple",4,Pokhara,Popular,Oct-Apr,1 hr,
Gupteshwor Mahadev Cave,3,2,0,4,1,"hindu, temple, cave, waterfall",4,Pokhara,Off-Beat,Oct-Apr,1-2 hrs,
World Peace Pagoda,1,1,0,4,1,landmark,4,Pokhara,Popular,All Year,2 hrs,
Mahendra Cave,1,2,0,4,1,cave,4,Pokhara,Off-Beat,Oct-Apr,1 hr,
Rupa Lake,0,1,1,4,0,"Lake, hills",4,Pokhara,Off-Beat,Oct-Apr,2 hrs,
Gorkha Memorial Museum,3,0,0,4,5,museum,4,Gorkha,Popular,Oct-Mar,2-3 hrs,
Chamere Gufa,1,2,2,4,1,cave,4,Gorkha,Off-Beat,Oct-Mar,1-2 hrs,
Seti River Gorge,0,0,1,3,0,"river, scenery",4,Pokhara,Popular,Oct-Apr,2-3 hrs,
Bhimsen Temple,4,0,0,2,2,"temple, hindu ",4,Gorkha,Popular,Oct-Mar,1-2 hrs,
Matepani Gumba,4,0,0,2.5,1.5,"buddhist, monastery, gumba",4,Pokhara,Off-Beat,All Year,1 hr,
Sarangkot sunrise and paragliding,0,5,0,3,0,"hills, mountains, hiking ",4,Pokhara,Popular,"Oct–Nov, Mar–May",Half-day,
Jangchub Choeling Monastery,4,0,0,2.5,1.5,"buddhist, monastery, gumba",4,Pokhara,Off-Beat,All Year,2 hrs,
Pokhara Disneyland,0,2,0,2.5,0,"park, landmark",4,Pokhara,Popular,All Year,2-3 hrs,
Mardi Himal ,0,5,1,5,0,"mountains, trekking, climbing",4,Kaski,Off-Beat,"Sep-Nov, Mar-May",1 day,
Ghandruk Village,2.5,3,1.5,4,0,"mountains, hills, trekking, hiking, village",4,Kaski,Off-Beat,Oct-Mar,1 day,
Annapurna Sanctuary Trek,3,4,1.5,4,2,"Mountains, trekking, climbing",4,Kaski,Off-Beat,"Sep-Nov, Mar-May",5-7 days,
Ghorepani Poon Hill Trek,2,3,1,3.5,0,"Hills, trekking, hiking, mountains",4,Kaski,Off-Beat,"Oct–Nov, Mar–May",1-2 days,
Annapurna Conservation Area,0,0,4.5,4.5,1,"national park, scenery",4,Kaski,Off-Beat,"Oct–Nov, Mar–May",Half-day,
Machapuchhre Base Camp Trek,1,3,2,4,0,"hills, mountains, trekking, hiking",4,Kaski,Off-Beat,"Sep-Nov, Mar-May",5-7 days,
Beshi Sahar,2.5,0,1.5,3,2,"city, river",4,Lamjung,Off-Beat,Oct-Mar,Half-day,
Ghale Gaon,3.5,0,1.5,4.5,0,"Village, hills, mountains, trekking, hiking",4,Lamjung,Off-Beat,Oct-Mar,1 day,
Bhujung,2.5,0,1.5,3,2,"village, hills, hiking, trekking",4,Lamjung,Off-Beat,Oct-Mar,Half-day,
Ilampokhari,2.5,0,1.5,3,1,"village, hills, hiking, trekking",4,Lamjung,Off-Beat,Oct-Mar,Half-day,
Barha Pokhari,4,2,0,4,2,"pond, lake, hiking, pilgrimage, hindu",4,Lamjung,Off-Beat,Oct-Mar,1 day,
Marshyandi ,0,4.5,0,4,0,"rafting, river ",4,Lamjung,Off-Beat,"Oct–Nov, Mar–May",Half-day,
Khudi,2.5,0,1.5,3,1,"village, hills, hiking, trekking",4,Lamjung,Off-Beat,Oct-Mar,Half-day,
Bhulbhule,2.5,0,1.5,3,1,"village, hills, hiking, trekking",4,Lamjung,Off-Beat,Oct-Mar,Half-day,
Bahun Dada (Hill),2.5,0,1.5,3,1,"village, hills, hiking, trekking",4,Lamjung,Off-Beat,Oct-Mar,Half-day,
Dharme Beshi,2.5,0,1.5,3,1,"village, hills, hiking, trekking",4,Lamjung,Off-Beat,Oct-Mar,Half-day,
Jagat,3.5,1.5,1.5,4,2.5,"village, hills, hiking, trekking",4,Lamjung,Off-Beat,Oct-Mar,1 day,
Bhote Odar,2.5,0,1.5,3,1,"village, hills, hiking, trekking",4,Lamjung,Off-Beat,Oct-Mar,Half-day,
Dudhpokhari,2.5,0,1.5,3,1,"village, hills, hiking, trekking, hindu, pilgrimage, pond",4,Lamjung,Off-Beat,Oct-Mar,Half-day,
Annapurna Second,1,5,1.5,4.5,3,"mountain, climbing, trekking",4,Kaski,Off-Beat,"Sep-Nov, Mar-May",3-5 days,
Boudha Mountain,0,3.5,1,4,2,"mountain, climbing, trekking",4,Kaski,Off-Beat,"Sep-Nov,Mar-May",2-3 days,
Himalchuli Mountain,0,5,1,4.5,3.5,"mountain, climbing, trekking",4,Kaski,Off-Beat,"Sep-Nov,Mar-May",3-5 days,
Byas Gufa (Cave),3.5,0,0,3,4,"hindu, temple, cave, history",4,Lamjung,Off-Beat,Oct-Mar,1-2 hrs,
Bandipur,2,0,0,3.5,4,"village, hills, history",4,Tanahun,Popular,Oct-Mar,1 day,
Dhorfirdi,2.5,0,0,3,0,city,4,Tanahun,Off-Beat,Oct-Mar,Half-day,
Vimad,3,1,0,3.5,3,"city, history, scenery",4,Tanahun,Off-Beat,Oct-Mar,2-3 hrs,
Siddha Gufa,1.5,2,0,3.5,2,"cave, hills, hiking",4,Palpa,Off-Beat,Oct-Mar,1-2 hrs,
Rising Ranipokhari,2,0,0,2.5,1,"village, pond",4,Tanahun,Off-Beat,Oct-Mar,1 hr,
Chundi Ramgha,2,0,0,3.5,3,"village, history",4,Tanahun,Off-Beat,Oct-Mar,Half-day,
Chimkeshowari Lek,2,0,0,2.5,1,"village, hills",4,Tanahun,Off-Beat,Oct-Mar,1 hr,
Chhabdi Baraha,4,0,0,2,1,"hindu, temple",4,Tanahun,Popular,Oct-Mar,1 hr,
Sital Cave,0,2,0,3,0,cave,4,Palpa,Off-Beat,Oct-Mar,1-2 hrs,
Tanahusur Durbar,2.5,2,0,3.5,4,"palace, trekking",4,Tanahun,Off-Beat,Oct-Mar,Half-day,
Manungkot,1,0,0,3,3.5,"Hills, hiking, history",4,Tanahun,Off-Beat,Oct-Mar,Half-day,
Maulakalika Temple,4,0,0,2,3,"Hindu, temple, river",4,Parbat,Popular,Oct-Mar,Half-day,
Daaune Devi Temple,4,0,0,2,3,"Hindu, temple",4,Parbat,Popular,Oct-Mar,Half-day,
Devghat Dham,4,0,0,4,1.5,"hindu, temple, river, hills, forest",4,Tanahun,Popular,Oct-Mar,Half-day,
Cg Temple,1,0,0,5,0,"temple, art",4,Tanahun,Off-Beat,Oct-Mar,1-2 hrs,
Amaltari Homestay,4,2,1,4,0,"hiking, homestay, forest, scenery",4,Tanahun,Off-Beat,Oct-Mar,1 day,
Devchuli Hill,3.5,2,1,4,2.5,"hiking, scenery ",4,Nawalparasi,Off-Beat,Oct-Mar,Half-day,
Karkineta( the source of Adhikhola River),3.5,0,0,3.5,0,"village, hills",4,Parbat,Off-Beat,Oct-Mar,Half-day,
Bhalu Pahad,0,0,0,3,0,hill,4,Tanahun,Off-Beat,Oct-Mar,Half-day,
Chandikalika Temple,3.5,0,0,2,0,"hindu, temple",4,Parbat,Popular,Oct-Mar,Half-day,
Sirubari,3,0,0,4,0,"homestay, village, hills",4,Syangja,Off-Beat,Oct-Mar,1 day,
Sworek Hill,2,5,0,4,0,"paragliding, cave, hills",4,Syangja,Off-Beat,Oct-Mar,Half-day,
Chaaya Kshetra,3.5,0,0,3,3.5,"hindu, temple, cave",4,Parbat,Off-Beat,Oct-Mar,Half-day,
Garahun Kalika,3.5,0,0,4,3,"hindu, temple",4,Parbat,Popular,Oct-Mar,Half-day,
Alamdevi,4,0,0,3,2,"hindu, temple",4,Parbat,Popular,Oct-Mar,Half-day,
Mirmi Hydro dam,0,0,0,2,0,"dam, river",4,Parbat,Off-Beat,Oct-Mar,Half-day,
Mahabhir Waterfall Rappelling/ Canyoning,0,5,0,4,0,"waterfall, rappelling, canyoning, adventure",4,Parbat,Popular,Oct-Mar,Half-day,
"Bungee Jump, Sky Cycling And Adventure Swing in Parbat",0,5,0,4,0,"hills, bungee, cycling, adventure",4,Parbat,Popular,Oct-Mar,Half-day,
Painyukot Temple,4,0,0,3,3,"hindu, temple, history",4,Parbat,Popular,Oct-Mar,Half-day,
Kushma Modibeni Area,3,2,0,4,2,"hindu, temple, cave, hills, river, pilgrimage",4,Parbat,Off-Beat,Oct-Mar,1 day,
Sedibeni Shaligram Shila,4,2,0,4,3,"hindu, pilgrimage",4,Parbat,Off-Beat,Oct-Mar,Half-day,
Mahashila,3,0,0,3.5,0,"Hills, scenery, hindu ",4,Parbat,Off-Beat,Oct-Mar,Half-day,
Chisapani Kalika,4,2,0,4,3,"hindu, pilgrimage, hills",4,Parbat,Popular,Oct-Mar,Half-day,
Dahare Neelkanth Mountain,1.5,2,0,4,3.5,"hindu, pilgrimage, hiking, history, hills",4,Parbat,Off-Beat,Oct-Mar,Half-day,
Panchase Panchadham,3,0,3,3,3.5,"hindu, buddhist, pilgrimage",4,Parbat,Off-Beat,Oct-Mar,1 day,
"Bhamarkot, Maate, Jaljala, Hampal (Kalanzar) Mountains",0,2.5,1.5,5,0,"mountains, hills, trekking, hiking, village",4,Parbat,Off-Beat,Oct-Mar,1-2 days,
Kalika Bhagwati Temple,4,0,0,3,2,"hindu, temple",4,Parbat,Popular,Oct-Mar,Half-day,
Bhairavsthan Temple,4,0,0,3,2,"hindu, temple",4,Parbat,Popular,Oct-Mar,Half-day,
Jaimineshwor Shiva Temple,4,0,0,3,2,"hindu, temple",4,Parbat,Popular,Oct-Mar,Half-day,
Dhorpatan Taalbaraha Temple,4,0,0,3,2,"hindu, temple",4,"Dhorpatan, Baglung",Popular,Oct-Mar,Half-day,
Tripurshowr Mahadev Temple,4,0,0,3,2,"hindu, temple",4,Parbat,Popular,Oct-Mar,Half-day,
Thalthapi Mai Bhagwati Temple,4,0,0,3,2,"hindu, temple",4,Parbat,Popular,Oct-Mar,Half-day,
Devisthan Temple,4,0,0,3,2,"hindu, temple",4,Parbat,Popular,Oct-Mar,Half-day,
Shivalaya Temple,4,0,0,3,2,"hindu, temple",4,Parbat,Popular,Oct-Mar,Half-day,
Satyawati Temple,4,0,0,3,2,"hindu, temple",4,Parbat,Popular,Oct-Mar,Half-day,
Dhorpatan Area,0,4,5,2,0,"wildlife, tour, lakes, river",4,"Dhorpatan, Baglung",Off-Beat,Oct-Mar,1 day,
Ghumte ko Lek (Dhuri),0,0,0,5,0,hill,4,Parbat,Off-Beat,Oct-Mar,Half-day,
Gaja Ko Daha,0,0,0,3.5,0,lake,4,Parbat,Off-Beat,Oct-Mar,Half-day,
Bhakunde Daha,0,0,0,3.5,0,pond,4,Parbat,Off-Beat,Oct-Mar,Half-day,
Sanshar Kot,0,2,0,4,0,"hills, hiking, scenery",4,Parbat,Off-Beat,Oct-Mar,Half-day,
Kapilvastu,4,0,0,3,5,"pilgrimage, statues,cultural,historical",5,Kapilvastu,Popular,Oct-Apr,Half-day to 1 day,
Dhaulagiri mountain ,0,5,0,3,0,"mountain, trekking, hills,scenery",5,Myagdi,Off-Beat,"Mar–May, Sep–Nov",7-14 days,
Dhorpatan hunting reserve,0,4,5,2,0,"wildlife, tour, lakes, river",5,Baglung/Rukum,Off-Beat,"Mar–May, Sep–Nov",3-5 days,
Banke National Park,0,4,5,2,0,"wildlife, tour, lakes, river",5,Banke,Off-Beat,Oct-Apr,2-3 days,
Bardiya National Park,0,4,5,3,0,"wildlife, tour, lakes, river",5,Bardiya,Off-Beat,Oct–Apr,2–3 days,
Rani Mahal,4,0,0,3,5,"hill, historical",5,Palpa,Popular,All Year,Half-day to 1 day,
Pandaveshwor Temple,4,0,0,4,4,"picnic spot, sculptures, hindu, temple",5,Pyuthan,Off-Beat,All Year,Half-day to 1 day,
Swargadwari,4,0,0,4,5,"hill, Religious Shrine, hindu, temple",5,Pyuthan,Popular,"Mar–May, Sep–Nov",1-2 days,
Jitgadi Fort,3,0,0,3,5,"fort, historical",5,Butwal/Rupandehi,Off-Beat,All Year,Half-day to 1 day,
Bageshwori Temple,4,0,0,3,5,"hindu, temple, sculptures",5,Banke,Popular,All Year,Half-day to 1 day,
Bhairabsthan,3,0,0,2,4,"hindu, temple, sculptures",5,Palpa,Off-Beat,All Year,Half-day to 1 day,
Resunga,4,0,0,3,4,"hill, religious,temple",5,Gulmi,Off-Beat,"Mar–May, Sep–Nov",1 day,
Ridi,4,0,0,2,3,"religious, cultural",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Ambikeshwori,3,0,0,2,3,"temple, hindu, religious",5,Dang,Popular,All Year,Half-day to 1 day,
Supa Deurali,2,0,0,2,3,"religious shrine, temple,hindu",5,Arghakhanchi,Off-Beat,All Year,Half-day to 1 day,
Bahrakune,1,4,0,3,3,"boat tour, lake, pond",5,Dang,Off-Beat,Oct-Apr,Half-day to 1 day,
Jagadishpur,2,0,0,4,0,"reservoir, lake, wetland",5,Kapilvastu,Off-Beat,Oct-Apr,Half-day to 1 day,
Rukumkot,3,2,0,4,3,"pond, lake, temple, hill, trekking",5,Rukum,Off-Beat,"Mar–May, Sep–Nov",1-2 days,
Jakhera tal,0,4,0,3,0,"lake,pond,boat tour,scenery",5,Dang,Off-Beat,Oct-Apr,Half-day to 1 day,
Satyawati lake,2,0,0,1,4,"lake,pond,historical",5,Gulmi,Off-Beat,Oct-Apr,1 day,
Bibang Daha,0,3,0,3,0,"hill, scenary, hiking",5,Rolpa,Off-Beat,"Mar–May, Sep–Nov",Half-day to 1 day,
Gajulkot,4,0,0,3,2,"hill,scenary,cultural",5,Rolpa,Off-Beat,All Year,Half-day to 1 day,
Jaljala,3,4,0,4,0,"trekking, lake, rhododendron",5,Rolpa,Off-Beat,"Apr-Jun, Sep-Nov",2-3 days,
"Lungko Dewali(Lung,pyuthan)",4,0,0,3,4,"cultural, historical",5,Pyuthan,Off-Beat,All Year,Half-day to 1 day,
Shree Rameshowr Mahadev Temple,3,0,0,3,2,"temple, hindu, religious",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Marbhung,2,0,0,3,2,"hill, river, temple",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Ismakot,2,0,0,3,3,"hill,temple,scenery",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Purkot,3,0,0,3,3,"lake ,hills, wetland",5,Gulmi,Off-Beat,Oct-Apr,Half-day to 1 day,
Dhurkot,4,0,0,3,2,"hill,scenery,cultural",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Aapchaur,2,0,0,4,0,"scenary, hill",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Wami,3,0,0,3,2,"river,temple, scenary",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Musikot,3,0,0,3,2,"scenary, hill, temple",5,Rukum,Off-Beat,All Year,Half-day to 1 day,
Bichitra Gufa ,2,4,0,3,4,"cave, tour, scenery",5,Gulmi,Off-Beat,Oct-Apr,Half-day to 1 day,
Durbar Devisthan,4,0,0,3,2,"hill,scenary,cultural",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Purtighat,3,0,0,3,3,"river,temple, scenery,hill",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Balkot,3,0,0,4,0,"hill,scenery,cultural",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Arghakot,2,0,0,3,0,"scenary,hill",5,Arghakhanchi,Off-Beat,All Year,Half-day to 1 day,
Jabundada,4,3,0,3,3,"hill,scenery,cultural,trekking",5,Pyuthan,Off-Beat,"Mar–May, Sep–Nov",1-2 days,
Mathuradada,3,3,0,3,3,"hill,scenary,trekking",5,Pyuthan,Off-Beat,"Mar–May, Sep–Nov",1-2 days,
Maulipokhara,2,0,0,3,0,"scenery,hill",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Argeli Palace,3,0,0,3,5,"scenery,hill,historical",5,Palpa,Off-Beat,All Year,Half-day to 1 day,
Mul Dhoka,2,0,0,3,5,"palace, historical, picnic spot",5,Palpa,Off-Beat,All Year,Half-day to 1 day,
Ramdi,4,0,0,3,2,"religious, scenery, cultural",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Rishikesh Temple,3,0,0,4,5,"statue, religious, temple, hindu",5,Gulmi,Popular,All Year,Half-day to 1 day,
Mahamritunjaya Statue,3,0,0,3,4,"statue, religious, temple, hindu",5,Palpa,Off-Beat,All Year,Half-day to 1 day,
Vhairabsthan Temple,2,0,0,3,3,"temple,hindu, religious",5,Palpa,Off-Beat,All Year,Half-day to 1 day,
Rambha Devi,3,0,0,4,3,"scenery, temple, religious",5,Palpa,Off-Beat,All Year,Half-day to 1 day,
Tansen City,4,0,0,3,4,"cultural, historical,scenery",5,Palpa,Popular,All Year,1-2 days,
Shrinagar Hill,2,4,0,4,2,"hiking, hill, trekking,scenery",5,Palpa,Popular,Oct-Apr,Half-day to 1 day,
Sainamaina,2,0,0,3,0,"scenery, tour",5,Rupandehi,Off-Beat,All Year,Half-day to 1 day,
Hillpark,0,2,0,4,0,"hills, picnic spot, park",5,Rupandehi,Off-Beat,All Year,Half-day to 1 day,
Manimukunda Sen Uddhan (Fulbari),0,2,0,3,0,"park, garden, scenery",5,Rupandehi,Off-Beat,All Year,Half-day to 1 day,
Dandakhola ,0,0,0,3,0,"river,scenery",5,Dang,Off-Beat,All Year,Half-day to 1 day,
Narayansthan,3,0,0,3,3,"hill,scenery,river,temple",5,Gulmi,Off-Beat,All Year,Half-day to 1 day,
Durga Temple,3,0,0,3,3,"temple, hindu, religious",5,Pyuthan,Off-Beat,All Year,Half-day to 1 day,
Siddhartha Nagar,2,0,0,4,0,"park, scenery, tour",5,Rupandehi,Popular,All Year,Half-day to 1 day,
Tilaurakot Museum,3,0,0,3,3,"museum, sculpture",5,Kapilvastu,Off-Beat,All Year,Half-day to 1 day,
Gotihawa,4,0,0,3,4,"historical, cultural, religious",5,Kapilvastu,Off-Beat,All Year,Half-day to 1 day,
Nigrodharam,3,0,0,3,4,"sightseeing, scenery, historical",5,Kapilvastu,Off-Beat,All Year,Half-day to 1 day,
Araurakot,3,0,0,4,4,"historical, cultural, religious, temple",5,Kapilvastu,Off-Beat,All Year,Half-day to 1 day,
Kudan,3,0,0,4,5,"site, historical, temple, buddhist",5,Kapilvastu,Off-Beat,All Year,Half-day to 1 day,
Sawarikot,2,0,0,3,3,"scenery, river, hill",5,Pyuthan,Off-Beat,All Year,Half-day to 1 day,
"Bijauri, Chillikot",3,0,0,3,2,"temple, hindu, hill, river",5,Dang,Off-Beat,All Year,Half-day to 1 day,
Gorakshya Ratna Nath Temple,3,0,0,4,3,"hindu, temple, religious, sculpture",5,Dang,Off-Beat,All Year,Half-day to 1 day,
Charinge Daha- Ghorahi Dang,2,0,0,3,2,"lake,scenery,temple",5,Dang,Off-Beat,Oct-Apr,Half-day to 1 day,
Ganeshpur Park- Tulsipur Dang,3,0,0,4,2,"park, scenery, tour",5,Dang,Off-Beat,All Year,Half-day to 1 day,
Ambikeshwari temple ,4,0,0,4,3,"temple, religious, hindu, cultural",5,Dang,Popular,All Year,Half-day to 1 day,
Barhakune Daha (Baraha Chhetra),3,4,0,4,3,"pond,lake, temple, boat tour",5,Dang,Off-Beat,Oct-Apr,Half-day to 1 day,
Purandhara Waterfall,2,4,0,3,0,"waterfall, scenery",5,Dang,Off-Beat,Jul-Sep,Half-day to 1 day,
"Jakhera Lake(Lamahi,  Dang )",2,3,0,4,2,"lake, temple, scenery",5,Dang,Off-Beat,Oct-Apr,Half-day to 1 day,
Pandabeshwar Mahadev temple (Dharapani temple),3,0,0,3,2,"hindu, temple, scenary",5,Pyuthan,Off-Beat,All Year,Half-day to 1 day,
"Chisapani, Banke",2,2,0,3,2,"scenary, beauty, hiking",5,Banke,Off-Beat,All Year,Half-day to 1 day,
Siwalik Hills,0,4,0,3,0,"mountain, hills, trekking",5,Dang/Banke belt,Off-Beat,Oct-Apr,1-2 days,
Paklihawa,2,2,0,3,3,"scenery, tour, hiking",5,Rupandehi,Off-Beat,All Year,Half-day to 1 day,
Phoksundo lake,0,2.5,0,5,0,"lake, hiking, trekking, hills, mountains, scenery",6,Dolpa,Popular,May-Oct,"1 day (at lake), 3-4 days trek",
Shey Gompa,4,0,0,5,4,"monastery, buddhist, hills, mountains, hiking, trekking",6,Dolpa,Off-Beat,May-Oct,7-10 days,
Shey Phoksundo National Park,3,2,5,5,0,"national park, natural beauty, scenery, forest, wildlife, monastery",6,Dolpa,Popular,May-Oct,3-7 days,
