activity_id,activity_name,destination,type,duration,price_npr,season,tags,description
A0158,Rafting - Gorakhnath Temple ,Gorakhnath Temple ,Photo Tour,1 hrs,9400,Spring,culture; food; photography,"A thrilling rafting in Gorakhnath Temple , ideal for adventure seekers."
A0159,Paragliding - Siraha,Siraha,Adventure,1 hrs,12700,Summer,relaxation; adventure; photography,"A guided paragliding in Siraha, ideal for adventure seekers."
A0160,Cultural Tour - Gupteswar Gupha,Gupteswar Gupha,Cultural,2 hrs,2200,Winter,adventure; culture; food,"A guided cultural tour in Gupteswar Gupha, ideal for adventure seekers."
A0161,Hiking - Tanahusur Durbar,Tanahusur Durbar,Workshop,8 hrs,11200,Spring,trekking; wildlife,"A guided hiking in Tanahusur Durbar, ideal for adventure seekers."
A0162,Rafting - Narayansthan,Narayansthan,Sightseeing,2 hrs,4000,Winter,food; relaxation; wildlife,"A thrilling rafting in Narayansthan, ideal for adventure seekers."
A0163,Hiking - IIlam,IIlam,Workshop,4 hrs,12400,Summer,relaxation; food; culture,"A immersive hiking in IIlam, ideal for solo travelers."
A0164,Rafting - Jhilmila lake,Jhilmila lake,Wildlife,4 hrs,3300,Spring,photography; heritage; trekking; offbeat,"A guided rafting in Jhilmila lake, ideal for families."
A0165,Cycling - Kulekhani Dam,Kulekhani Dam,Trekking,4 hrs,3000,Summer,wildlife; offbeat; relaxation,"A guided cycling in Kulekhani Dam, ideal for adventure seekers."
A0166,Paragliding - Gupteswar Gupha,Gupteswar Gupha,Cultural,5 hrs,2900,Spring,culture; local-experience; food; trekking,"A guided paragliding in Gupteswar Gupha, ideal for adventure seekers."
A0167,Cooking Class - Mugu/Bardiya Stretch,Mugu/Bardiya Stretch,Wildlife,5 hrs,3000,All Year,culture; heritage,"A relaxing cooking class in Mugu/Bardiya Stretch, ideal for couples."
A0168,Jungle Safari - Himalchuli Mountain,Himalchuli Mountain,Wildlife,4 hrs,8600,Winter,heritage; offbeat; relaxation; wildlife,"A relaxing jungle safari in Himalchuli Mountain, ideal for solo travelers."
A0169,Zipline - Olangchung Gola,Olangchung Gola,Adventure,3 hrs,3700,Summer,adventure; offbeat; food; local-experience,"A relaxing zipline in Olangchung Gola, ideal for couples."
A0170,Temple Visit - Kaligandaki River,Kaligandaki River,Relaxation,8 hrs,13400,Winter,offbeat; photography; food; heritage,"A thrilling temple visit in Kaligandaki River, ideal for solo travelers."
A0171,Paragliding - Saptari,Saptari,Wildlife,2 hrs,3800,Spring,trekking; adventure; offbeat; heritage,"A relaxing paragliding in Saptari, ideal for couples."
A0172,Bird Watching - Sundarijal Waterfall,Sundarijal Waterfall,Adventure,2 hrs,3200,Winter,wildlife; heritage; food,"A thrilling bird watching in Sundarijal Waterfall, ideal for solo travelers."
A0173,Cycling - Gyachung kang,Gyachung kang,Relaxation,4 hrs,13000,Spring,offbeat; trekking; local-experience,"A guided cycling in Gyachung kang, ideal for families."
A0174,Paragliding - Annapurna Sanctuary Trek,Annapurna Sanctuary Trek,Adventure,1 hrs,12000,Summer,offbeat; local-experience; relaxation,"A guided paragliding in Annapurna Sanctuary Trek, ideal for couples."
A0175,Bird Watching - Sedibeni Shaligram Shila,Sedibeni Shaligram Shila,Photo Tour,5 hrs,13400,Autumn,adventure; local-experience; offbeat; trekking,"A immersive bird watching in Sedibeni Shaligram Shila, ideal for families."
A0176,Rafting - Beni Bazaar,Beni Bazaar,Workshop,4 hrs,13100,Spring,offbeat; photography; heritage,"A thrilling rafting in Beni Bazaar, ideal for solo travelers."
A0177,Hiking - Jungle Walk,Jungle Walk,Photo Tour,4 hrs,9800,Summer,local-experience; trekking,"A immersive hiking in Jungle Walk, ideal for couples."
A0178,Cooking Class - Bhairavsthan Temple,Bhairavsthan Temple,Trekking,6 hrs,10900,Summer,photography; heritage; wildlife; relaxation,"A immersive cooking class in Bhairavsthan Temple, ideal for families."
A0179,Cycling - Thodung Monastery,Thodung Monastery,Cultural,2 hrs,5400,Autumn,offbeat; heritage,"A guided cycling in Thodung Monastery, ideal for couples."
A0180,Hiking - Amayangri Hill ,Amayangri Hill ,Wildlife,2 hrs,2200,Spring,relaxation; photography; wildlife,"A thrilling hiking in Amayangri Hill , ideal for families."
A0181,Temple Visit - Bishazari Tal,Bishazari Tal,Sightseeing,1 hrs,6800,Spring,trekking; heritage; relaxation; wildlife,"A thrilling temple visit in Bishazari Tal, ideal for adventure seekers."
A0182,Bird Watching - Chainpur,Chainpur,Photo Tour,5 hrs,3600,Spring,heritage; culture; local-experience,"A thrilling bird watching in Chainpur, ideal for families."
A0183,"Jungle Safari - Ranipokhari, chitwan","Ranipokhari, chitwan",Festival Tour,2 hrs,4000,Autumn,wildlife; relaxation; heritage,"A guided jungle safari in Ranipokhari, chitwan, ideal for families."
A0184,Rafting - Siraha,Siraha,Workshop,3 hrs,9500,Autumn,trekking; heritage,"A thrilling rafting in Siraha, ideal for solo travelers."
A0185,Boating - Purtighat,Purtighat,Workshop,3 hrs,13900,Autumn,relaxation; photography,"A immersive boating in Purtighat, ideal for solo travelers."
A0186,Bird Watching - Rising Ranipokhari,Rising Ranipokhari,Festival Tour,4 hrs,6800,Autumn,food; offbeat; heritage,"A immersive bird watching in Rising Ranipokhari, ideal for families."
A0187,Cultural Tour - Ghyampe Danda,Ghyampe Danda,Sightseeing,8 hrs,1200,All Year,culture; photography,"A guided cultural tour in Ghyampe Danda, ideal for solo travelers."
A0188,Paragliding - Jhilmila lake,Jhilmila lake,Workshop,4 hrs,1900,Autumn,adventure; local-experience; relaxation; trekking,"A immersive paragliding in Jhilmila lake, ideal for adventure seekers."
A0189,"Paragliding - Fulbari , Siraha","Fulbari , Siraha",Trekking,8 hrs,8100,All Year,wildlife; food; heritage; photography,"A guided paragliding in Fulbari , Siraha, ideal for adventure seekers."
A0190,Temple Visit - Devisthan Temple,Devisthan Temple,Sightseeing,8 hrs,6000,Winter,adventure; local-experience,"A guided temple visit in Devisthan Temple, ideal for solo travelers."
A0191,Bird Watching - Beshi Sahar,Beshi Sahar,Wildlife,3 hrs,6400,Spring,local-experience; relaxation; photography; food,"A thrilling bird watching in Beshi Sahar, ideal for families."
A0192,Zipline - Kanchenjunga,Kanchenjunga,Adventure,3 hrs,7100,Winter,food; local-experience; culture; photography,"A immersive zipline in Kanchenjunga, ideal for adventure seekers."
A0193,Bird Watching - Mini mountain,Mini mountain,Adventure,3 hrs,4100,Spring,culture; heritage; relaxation; local-experience,"A guided bird watching in Mini mountain, ideal for adventure seekers."
A0194,Zipline - Gorkha Memorial Museum,Gorkha Memorial Museum,Relaxation,5 hrs,14600,All Year,photography; relaxation,"A relaxing zipline in Gorkha Memorial Museum, ideal for couples."
A0195,Hiking - Beshi Sahar,Beshi Sahar,Wildlife,1 hrs,9300,All Year,trekking; photography; heritage; adventure,"A guided hiking in Beshi Sahar, ideal for couples."
A0196,Jungle Safari - Nuwakot ,Nuwakot ,Sightseeing,1 hrs,11800,Autumn,trekking; heritage; culture,"A guided jungle safari in Nuwakot , ideal for couples."
A0197,Zipline - Ugratara Temple,Ugratara Temple,Festival Tour,4 hrs,11800,Summer,heritage; food; wildlife; culture,"A relaxing zipline in Ugratara Temple, ideal for couples."
A0198,Cultural Tour - Gaurishankar conservation area,Gaurishankar conservation area,Boat Ride,6 hrs,14100,All Year,trekking; heritage,"A thrilling cultural tour in Gaurishankar conservation area, ideal for solo travelers."
A0199,Boating - Upper mustang trek,Upper mustang trek,Adventure,1 hrs,11400,Spring,photography; relaxation,"A relaxing boating in Upper mustang trek, ideal for families."
A0200,Cooking Class - Illam,Illam,Photo Tour,3 hrs,8700,Winter,adventure; wildlife; local-experience,"A guided cooking class in Illam, ideal for families."
A0201,Cooking Class - Mangal Bazaar,Mangal Bazaar,Sightseeing,2 hrs,5600,Summer,culture; local-experience,"A thrilling cooking class in Mangal Bazaar, ideal for families."
A0202,Cycling - Sindhuli gadhi,Sindhuli gadhi,Photo Tour,5 hrs,8900,All Year,photography; food; heritage,"A relaxing cycling in Sindhuli gadhi, ideal for solo travelers."
A0203,Rafting - Poon Hill,Poon Hill,Photo Tour,4 hrs,12500,Summer,photography; culture,"A guided rafting in Poon Hill, ideal for couples."
A0204,Temple Visit - Baitadi,Baitadi,Wildlife,3 hrs,14800,Spring,heritage; relaxation; culture; food,"A thrilling temple visit in Baitadi, ideal for adventure seekers."
A0205,Rafting - Barhakune Daha (Baraha Chhetra),Barhakune Daha (Baraha Chhetra),Boat Ride,1 hrs,3100,Autumn,local-experience; adventure; trekking; food,"A thrilling rafting in Barhakune Daha (Baraha Chhetra), ideal for families."
A0206,Bird Watching - Arun Valley,Arun Valley,Cultural,2 hrs,1400,Winter,trekking; heritage,"A immersive bird watching in Arun Valley, ideal for couples."
A0207,Paragliding - Kumakh Hill,Kumakh Hill,Festival Tour,4 hrs,1500,Winter,wildlife; food; adventure,"A immersive paragliding in Kumakh Hill, ideal for couples."
A0208,Jungle Safari - Bhaktapur,Bhaktapur,Wildlife,1 hrs,3500,All Year,relaxation; wildlife,"A immersive jungle safari in Bhaktapur, ideal for families."
A0209,Cooking Class - Siraha,Siraha,Adventure,4 hrs,5300,Spring,photography; wildlife; adventure; offbeat,"A immersive cooking class in Siraha, ideal for couples."
A0210,Boating - Dhaulagiri of Nepal,Dhaulagiri of Nepal,Trekking,2 hrs,11500,Winter,food; culture; adventure,"A relaxing boating in Dhaulagiri of Nepal, ideal for solo travelers."
A0211,Bird Watching - Gangapurna Lake,Gangapurna Lake,Sightseeing,8 hrs,13900,Summer,relaxation; adventure,"A guided bird watching in Gangapurna Lake, ideal for couples."
A0212,Cycling - Baraha Lake and its mysterious Jalchara,Baraha Lake and its mysterious Jalchara,Photo Tour,1 hrs,11400,Autumn,relaxation; local-experience,"A thrilling cycling in Baraha Lake and its mysterious Jalchara, ideal for solo travelers."
A0213,"Rafting - Pathivara temple,taplejung","Pathivara temple,taplejung",Festival Tour,8 hrs,4200,Winter,food; heritage; culture; offbeat,"A relaxing rafting in Pathivara temple,taplejung, ideal for solo travelers."
A0214,Bird Watching - Todke,Todke,Adventure,2 hrs,7200,All Year,local-experience; heritage; adventure,"A guided bird watching in Todke, ideal for adventure seekers."
A0215,Cultural Tour - Jaleshwor Mini Waterfall,Jaleshwor Mini Waterfall,Sightseeing,1 hrs,2500,Summer,offbeat; relaxation; food,"A relaxing cultural tour in Jaleshwor Mini Waterfall, ideal for adventure seekers."
A0216,Cultural Tour - Himalchuli Mountain,Himalchuli Mountain,Workshop,6 hrs,14600,All Year,relaxation; culture,"A thrilling cultural tour in Himalchuli Mountain, ideal for solo travelers."
A0217,Cooking Class - Mahamanjushree Temple,Mahamanjushree Temple,Boat Ride,4 hrs,6300,All Year,photography; offbeat; relaxation; food,"A immersive cooking class in Mahamanjushree Temple, ideal for solo travelers."
A0218,Boating - Daman ,Daman ,Adventure,3 hrs,6300,Summer,photography; adventure; wildlife; offbeat,"A guided boating in Daman , ideal for families."
A0219,Rafting - Rolpa,Rolpa,Cultural,2 hrs,11500,All Year,heritage; food; culture; local-experience,"A thrilling rafting in Rolpa, ideal for couples."
A0220,Jungle Safari - Shailung Hills,Shailung Hills,Cultural,3 hrs,10600,All Year,food; wildlife; adventure,"A guided jungle safari in Shailung Hills, ideal for adventure seekers."
A0221,Cycling - Meghauli,Meghauli,Photo Tour,1 hrs,6600,Spring,photography; trekking; culture,"A immersive cycling in Meghauli, ideal for solo travelers."
A0222,Cycling - Bardiya,Bardiya,Trekking,3 hrs,1900,Winter,offbeat; trekking; adventure,"A guided cycling in Bardiya, ideal for families."
A0223,Zipline - Patan,Patan,Wildlife,5 hrs,13600,Autumn,trekking; wildlife; culture; relaxation,"A thrilling zipline in Patan, ideal for solo travelers."
A0224,Zipline - Janakpur,Janakpur,Festival Tour,8 hrs,6800,All Year,relaxation; trekking; adventure; photography,"A immersive zipline in Janakpur, ideal for couples."
A0225,"Temple Visit - Shiv Jhatta, Dharan","Shiv Jhatta, Dharan",Festival Tour,6 hrs,2300,Winter,food; relaxation; culture,"A guided temple visit in Shiv Jhatta, Dharan, ideal for couples."
A0226,Bird Watching - Surkhet,Surkhet,Festival Tour,8 hrs,2100,Autumn,relaxation; food,"A guided bird watching in Surkhet, ideal for adventure seekers."
A0227,Temple Visit - Langtang National Park,Langtang National Park,Trekking,2 hrs,9500,Spring,adventure; trekking; food; offbeat,"A relaxing temple visit in Langtang National Park, ideal for solo travelers."
A0228,Cooking Class - Dhading,Dhading,Relaxation,1 hrs,3400,Spring,food; adventure; photography,"A relaxing cooking class in Dhading, ideal for families."
A0229,Hiking - Deurali Cave,Deurali Cave,Cultural,3 hrs,2300,Winter,trekking; culture; heritage; food,"A guided hiking in Deurali Cave, ideal for families."
A0230,Paragliding - Sarangkot sunrise and paragliding,Sarangkot sunrise and paragliding,Boat Ride,1 hrs,10600,Winter,culture; wildlife; adventure; food,"A thrilling paragliding in Sarangkot sunrise and paragliding, ideal for adventure seekers."
A0231,Rafting - Upper mustang tiji festival trek,Upper mustang tiji festival trek,Workshop,4 hrs,2600,Spring,adventure; local-experience; offbeat; wildlife,"A guided rafting in Upper mustang tiji festival trek, ideal for families."
A0232,Temple Visit - Ram Mandir,Ram Mandir,Sightseeing,2 hrs,1200,Summer,heritage; food; culture,"A thrilling temple visit in Ram Mandir, ideal for couples."
A0233,Boating - Bhaktapur durbar square,Bhaktapur durbar square,Photo Tour,5 hrs,5900,Spring,adventure; culture,"A relaxing boating in Bhaktapur durbar square, ideal for solo travelers."
A0234,Bird Watching - Thakur Jiu temple   ,Thakur Jiu temple   ,Trekking,3 hrs,10000,Summer,offbeat; heritage; wildlife,"A relaxing bird watching in Thakur Jiu temple , ideal for families."
A0235,Cultural Tour - Panchadewal Hat,Panchadewal Hat,Boat Ride,3 hrs,12100,All Year,photography; relaxation; wildlife; culture,"A immersive cultural tour in Panchadewal Hat, ideal for adventure seekers."
A0236,Boating - Manimukunda Sen Uddhan (Fulbari),Manimukunda Sen Uddhan (Fulbari),Festival Tour,1 hrs,14200,All Year,wildlife; adventure; trekking; relaxation,"A thrilling boating in Manimukunda Sen Uddhan (Fulbari), ideal for couples."
A0237,"Hiking - Fulbari , Siraha","Fulbari , Siraha",Photo Tour,2 hrs,6100,Spring,trekking; heritage; local-experience,"A immersive hiking in Fulbari , Siraha, ideal for adventure seekers."
A0238,Cooking Class - Bhotekoshi,Bhotekoshi,Boat Ride,4 hrs,9400,Autumn,heritage; adventure,"A relaxing cooking class in Bhotekoshi, ideal for families."
A0239,Hiking - Karkineta( the source of Adhikhola River),Karkineta( the source of Adhikhola River),Sightseeing,6 hrs,6800,Summer,trekking; offbeat; heritage; photography,"A guided hiking in Karkineta( the source of Adhikhola River), ideal for solo travelers."
A0240,Cultural Tour - Amaltari Homestay,Amaltari Homestay,Adventure,8 hrs,1100,Winter,culture; photography,"A thrilling cultural tour in Amaltari Homestay, ideal for solo travelers."
A0241,Cycling - Kulekhani Dam,Kulekhani Dam,Relaxation,2 hrs,10200,Spring,trekking; offbeat,"A relaxing cycling in Kulekhani Dam, ideal for solo travelers."
A0242,Cultural Tour - Khaptad National Park,Khaptad National Park,Relaxation,3 hrs,7200,Autumn,adventure; wildlife,"A thrilling cultural tour in Khaptad National Park, ideal for families."
A0243,Cultural Tour - Maulipokhara,Maulipokhara,Trekking,4 hrs,3800,Winter,relaxation; heritage,"A immersive cultural tour in Maulipokhara, ideal for adventure seekers."
A0244,Cultural Tour - Ambikeshwari temple ,Ambikeshwari temple ,Trekking,5 hrs,12100,Spring,wildlife; offbeat,"A relaxing cultural tour in Ambikeshwari temple , ideal for couples."
A0245,Boating - Dhorpatan hunting reserve,Dhorpatan hunting reserve,Festival Tour,5 hrs,11900,Autumn,offbeat; trekking,"A immersive boating in Dhorpatan hunting reserve, ideal for solo travelers."
A0246,Hiking -  Kakani , Kakani ,Cultural,1 hrs,8100,Autumn,offbeat; heritage; trekking; photography,"A guided hiking in Kakani , ideal for families."
A0247,Bird Watching - Ismakot,Ismakot,Sightseeing,4 hrs,14000,Winter,local-experience; heritage; wildlife,"A immersive bird watching in Ismakot, ideal for couples."
A0248,Cycling - Parsa,Parsa,Boat Ride,3 hrs,11200,All Year,adventure; trekking; local-experience; culture,"A relaxing cycling in Parsa, ideal for couples."
A0249,Cooking Class - Kanakpatti Palace,Kanakpatti Palace,Festival Tour,4 hrs,10600,All Year,photography; relaxation,"A thrilling cooking class in Kanakpatti Palace, ideal for solo travelers."
A0250,Cooking Class - Nuwakot,Nuwakot,Boat Ride,4 hrs,14200,Winter,offbeat; adventure,"A immersive cooking class in Nuwakot, ideal for couples."
A0251,Cycling - Tamur river,Tamur river,Adventure,4 hrs,11400,Winter,photography; relaxation; food,"A relaxing cycling in Tamur river, ideal for couples."
A0252,Cooking Class - Bardiya,Bardiya,Festival Tour,6 hrs,2900,Winter,relaxation; local-experience,"A thrilling cooking class in Bardiya, ideal for adventure seekers."
A0253,"Jungle Safari - Dhorpatan, Baglung","Dhorpatan, Baglung",Sightseeing,1 hrs,2800,Winter,local-experience; trekking,"A relaxing jungle safari in Dhorpatan, Baglung, ideal for adventure seekers."
A0254,Cooking Class - Manang,Manang,Relaxation,6 hrs,8000,Autumn,offbeat; wildlife; relaxation; adventure,"A immersive cooking class in Manang, ideal for adventure seekers."
A0255,Temple Visit - Pattek hill,Pattek hill,Trekking,8 hrs,1300,Summer,local-experience; wildlife; food; culture,"A relaxing temple visit in Pattek hill, ideal for couples."
A0256,Bird Watching - Bardiya,Bardiya,Workshop,5 hrs,12900,Summer,culture; photography; trekking,"A guided bird watching in Bardiya, ideal for solo travelers."
A0257,"Cycling - Birgunj, Parsa","Birgunj, Parsa",Relaxation,8 hrs,1700,Winter,offbeat; wildlife,"A thrilling cycling in Birgunj, Parsa, ideal for couples."
A0258,Boating - Arun Valley,Arun Valley,Sightseeing,3 hrs,6700,Summer,food; local-experience; relaxation,"A thrilling boating in Arun Valley, ideal for families."
A0259,Cultural Tour - Swayambhunath temple,Swayambhunath temple,Festival Tour,3 hrs,11000,Summer,food; culture,"A guided cultural tour in Swayambhunath temple, ideal for solo travelers."
A0260,Jungle Safari - Darchula,Darchula,Festival Tour,3 hrs,12500,Winter,wildlife; culture,"A relaxing jungle safari in Darchula, ideal for families."
A0261,Zipline - Jiri,Jiri,Relaxation,4 hrs,1600,Autumn,culture; food,"A relaxing zipline in Jiri, ideal for solo travelers."
A0262,Rafting - Manimukunda Sen Uddhan (Fulbari),Manimukunda Sen Uddhan (Fulbari),Adventure,5 hrs,2700,Summer,photography; local-experience,"A relaxing rafting in Manimukunda Sen Uddhan (Fulbari), ideal for adventure seekers."
A0263,Temple Visit - Mechi bridge,Mechi bridge,Trekking,2 hrs,3800,Autumn,food; heritage; culture; trekking,"A relaxing temple visit in Mechi bridge, ideal for solo travelers."
A0264,Temple Visit - Kongde ri,Kongde ri,Boat Ride,8 hrs,13100,Autumn,offbeat; relaxation; trekking; local-experience,"A immersive temple visit in Kongde ri, ideal for solo travelers."
A0265,Cultural Tour - Nil Barahi Temple,Nil Barahi Temple,Boat Ride,4 hrs,2600,Summer,trekking; local-experience; photography; relaxation,"A guided cultural tour in Nil Barahi Temple, ideal for couples."
A0266,Paragliding - Shree Rameshowr Mahadev Temple,Shree Rameshowr Mahadev Temple,Photo Tour,6 hrs,3300,Winter,heritage; photography; relaxation; trekking,"A relaxing paragliding in Shree Rameshowr Mahadev Temple, ideal for couples."
A0267,Cultural Tour - Chimkeshowari Lek,Chimkeshowari Lek,Adventure,5 hrs,12000,Summer,wildlife; culture; food,"A relaxing cultural tour in Chimkeshowari Lek, ideal for solo travelers."
A0268,Rafting - The Toothache Tree(Vaisha Dev Shrine),The Toothache Tree(Vaisha Dev Shrine),Festival Tour,5 hrs,8400,Spring,trekking; heritage; food; local-experience,"A thrilling rafting in The Toothache Tree(Vaisha Dev Shrine), ideal for adventure seekers."
A0269,Jungle Safari - khumjung,khumjung,Festival Tour,5 hrs,9300,Summer,wildlife; relaxation; trekking,"A thrilling jungle safari in khumjung, ideal for couples."
A0270,Jungle Safari - Chhayanath Rara Area,Chhayanath Rara Area,Adventure,6 hrs,12800,Summer,food; trekking; offbeat,"A thrilling jungle safari in Chhayanath Rara Area, ideal for adventure seekers."
A0271,Cultural Tour - Kanchanjunga national park,Kanchanjunga national park,Boat Ride,3 hrs,12800,Summer,culture; offbeat; trekking,"A relaxing cultural tour in Kanchanjunga national park, ideal for couples."
A0272,Cultural Tour - Thalthapi Mai Bhagwati Temple,Thalthapi Mai Bhagwati Temple,Cultural,2 hrs,1400,All Year,wildlife; relaxation,"A guided cultural tour in Thalthapi Mai Bhagwati Temple, ideal for solo travelers."
A0273,"Rafting - Cave Exploration (Mahendra Cave, Bat Cave)","Cave Exploration (Mahendra Cave, Bat Cave)",Wildlife,8 hrs,1200,Winter,heritage; photography,"A relaxing rafting in Cave Exploration (Mahendra Cave, Bat Cave), ideal for families."
A0274,Bird Watching - Byas Gufa (Cave),Byas Gufa (Cave),Relaxation,2 hrs,12300,Spring,local-experience; culture; food; photography,"A guided bird watching in Byas Gufa (Cave), ideal for families."
A0275,Paragliding - Dofya Mahadev,Dofya Mahadev,Trekking,1 hrs,10600,Autumn,photography; trekking,"A thrilling paragliding in Dofya Mahadev, ideal for families."
A0276,Paragliding - Alamdevi,Alamdevi,Wildlife,1 hrs,9600,Autumn,culture; trekking; offbeat; food,"A relaxing paragliding in Alamdevi, ideal for families."
A0277,"Bird Watching - jhandi dada, Illam","jhandi dada, Illam",Cultural,1 hrs,9300,Winter,trekking; offbeat; food; local-experience,"A relaxing bird watching in jhandi dada, Illam, ideal for solo travelers."
A0278,Boating - Surmasarowar lake,Surmasarowar lake,Trekking,3 hrs,5400,Spring,photography; adventure; food,"A guided boating in Surmasarowar lake, ideal for solo travelers."
A0279,Rafting - Baraha Lake and its mysterious Jalchara,Baraha Lake and its mysterious Jalchara,Workshop,8 hrs,8100,All Year,adventure; culture; trekking,"A immersive rafting in Baraha Lake and its mysterious Jalchara, ideal for couples."
A0280,Bird Watching - Sankhu,Sankhu,Workshop,8 hrs,5300,Winter,offbeat; photography,"A relaxing bird watching in Sankhu, ideal for adventure seekers."
A0281,Rafting - Cycling Tours,Cycling Tours,Photo Tour,8 hrs,9100,Summer,photography; adventure,"A guided rafting in Cycling Tours, ideal for couples."
A0282,Rafting - Purkot,Purkot,Cultural,6 hrs,6900,All Year,adventure; trekking; offbeat; relaxation,"A immersive rafting in Purkot, ideal for solo travelers."
A0283,Hiking - Tikapur Park,Tikapur Park,Relaxation,5 hrs,3000,Spring,photography; heritage,"A relaxing hiking in Tikapur Park, ideal for solo travelers."
A0284,Hiking - Kathmandu,Kathmandu,Relaxation,6 hrs,1900,Autumn,offbeat; heritage; photography; culture,"A immersive hiking in Kathmandu, ideal for families."
A0285,Temple Visit - Supa Deurali,Supa Deurali,Trekking,6 hrs,8300,Spring,photography; offbeat,"A relaxing temple visit in Supa Deurali, ideal for families."
A0286,Hiking - Kailali,Kailali,Boat Ride,8 hrs,6600,All Year,local-experience; photography; wildlife,"A thrilling hiking in Kailali, ideal for families."
A0287,Jungle Safari - Charinge Daha- Ghorahi Dang,Charinge Daha- Ghorahi Dang,Wildlife,2 hrs,2300,Autumn,wildlife; culture,"A relaxing jungle safari in Charinge Daha- Ghorahi Dang, ideal for solo travelers."
A0288,"Jungle Safari - Ranipokhari, chitwan","Ranipokhari, chitwan",Workshop,4 hrs,12900,Winter,trekking; offbeat,"A relaxing jungle safari in Ranipokhari, chitwan, ideal for solo travelers."
A0289,Cooking Class - Amayangri Hill ,Amayangri Hill ,Workshop,5 hrs,12400,Autumn,heritage; culture; photography,"A guided cooking class in Amayangri Hill , ideal for solo travelers."
A0290,Cycling - Taplejung,Taplejung,Workshop,4 hrs,13900,All Year,food; wildlife; heritage; adventure,"A guided cycling in Taplejung, ideal for families."
A0291,Zipline - Shrinagar Hill,Shrinagar Hill,Relaxation,5 hrs,4900,All Year,wildlife; relaxation; food; trekking,"A guided zipline in Shrinagar Hill, ideal for adventure seekers."
A0292,Bird Watching - Kathmandu,Kathmandu,Wildlife,5 hrs,13300,Spring,wildlife; heritage; trekking,"A relaxing bird watching in Kathmandu, ideal for families."
A0293,Bird Watching - Rupandehi,Rupandehi,Workshop,6 hrs,10500,Summer,food; offbeat; photography,"A guided bird watching in Rupandehi, ideal for adventure seekers."
A0294,Zipline - Jungle Lodge / Tree House Stay,Jungle Lodge / Tree House Stay,Trekking,1 hrs,11400,Spring,food; wildlife,"A guided zipline in Jungle Lodge / Tree House Stay, ideal for adventure seekers."
A0295,Bird Watching - Pema Ts'al Sakya Monastic Institute,Pema Ts'al Sakya Monastic Institute,Trekking,6 hrs,13500,Winter,adventure; food; local-experience; photography,"A relaxing bird watching in Pema Ts'al Sakya Monastic Institute, ideal for couples."
A0296,Boating - Bhimsen Park ,Bhimsen Park ,Relaxation,6 hrs,1700,Autumn,offbeat; heritage; wildlife,"A relaxing boating in Bhimsen Park , ideal for solo travelers."
A0297,"Jungle Safari - Lungko Dewali(Lung,pyuthan)","Lungko Dewali(Lung,pyuthan)",Workshop,8 hrs,3300,Summer,offbeat; culture; trekking,"A relaxing jungle safari in Lungko Dewali(Lung,pyuthan), ideal for couples."
A0298,"Cooking Class - Gokyo lake, solukhumbu","Gokyo lake, solukhumbu",Photo Tour,5 hrs,14600,Summer,relaxation; food; culture; adventure,"A immersive cooking class in Gokyo lake, solukhumbu, ideal for solo travelers."
A0299,Hiking - Salyan,Salyan,Adventure,6 hrs,11100,Winter,wildlife; heritage,"A thrilling hiking in Salyan, ideal for families."
A0300,Bird Watching - Sindhuli gadhi,Sindhuli gadhi,Wildlife,4 hrs,8300,Summer,wildlife; photography,"A relaxing bird watching in Sindhuli gadhi, ideal for solo travelers."
A0301,Cultural Tour - Jajarkot,Jajarkot,Wildlife,5 hrs,3800,Summer,trekking; wildlife; offbeat; adventure,"A relaxing cultural tour in Jajarkot, ideal for adventure seekers."
A0302,Cycling - Sunkoshi,Sunkoshi,Workshop,6 hrs,3700,Autumn,relaxation; culture,"A thrilling cycling in Sunkoshi, ideal for adventure seekers."
A0303,Boating - Vimad,Vimad,Relaxation,1 hrs,7000,Summer,culture; adventure; local-experience,"A thrilling boating in Vimad, ideal for families."
A0304,Hiking - Shuklaphata National Park,Shuklaphata National Park,Sightseeing,5 hrs,1100,Summer,local-experience; relaxation; heritage; trekking,"A guided hiking in Shuklaphata National Park, ideal for adventure seekers."
A0305,Rafting - Bhairabsthan,Bhairabsthan,Sightseeing,3 hrs,9000,Autumn,food; offbeat; adventure,"A immersive rafting in Bhairabsthan, ideal for families."
A0306,Cycling - Shey Phoksundo National Park,Shey Phoksundo National Park,Festival Tour,8 hrs,11200,Autumn,offbeat; culture,"A immersive cycling in Shey Phoksundo National Park, ideal for solo travelers."
A0307,"Cycling - mugu (village, cycling, etc.)","mugu (village, cycling, etc.)",Adventure,5 hrs,13100,All Year,trekking; adventure; photography,"A immersive cycling in mugu (village, cycling, etc.), ideal for families."
A0308,Rafting - Dahare Neelkanth Mountain,Dahare Neelkanth Mountain,Workshop,4 hrs,6900,All Year,food; culture; photography,"A guided rafting in Dahare Neelkanth Mountain, ideal for families."
A0309,Cooking Class - Dolpo/Mustang,Dolpo/Mustang,Boat Ride,5 hrs,5900,Autumn,offbeat; local-experience; adventure; culture,"A thrilling cooking class in Dolpo/Mustang, ideal for adventure seekers."
A0310,Bird Watching - Jungad Jharna,Jungad Jharna,Trekking,8 hrs,12900,Autumn,culture; heritage; trekking,"A relaxing bird watching in Jungad Jharna, ideal for solo travelers."
